,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
1168,The Tigger Movie,15655,45554533,30000000,6.3,146.0,6.0,"['Animation', 'Family']","['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom']","[2, 2, 2, 2, 2, 2, 1, 2]","['owl', 'donkey', 'tiger', 'piglet', 'bear', 'rabbit', 'woman director']",2000-02-11,7,1,0,8
1169,Boiler Room,14181,28780255,26000000,6.5,202.0,6.0,"['Crime', 'Drama', 'Thriller']","['Giovanni Ribisi', 'Vin Diesel', 'Nia Long']","[2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 1, 2, 1]","['finances', 'stock broker', 'investment firm']",2000-02-18,9,3,1,13
1170,Hanging Up,10385,36037909,40000000,5.0,42.0,5.0,"['Comedy', 'Drama']","['Meg Ryan', 'Diane Keaton', 'Lisa Kudrow']","[1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]","['sister sister relationship', 'cheating', 'amnesia', 'crisis line', 'telephone', 'loss of wife', 'ex-wife', 'woman director']",2000-02-16,3,11,7,21
1171,Pitch Black,2787,53187659,23000000,6.7,1812.0,7.0,"['Thriller', 'Science Fiction', 'Action']","['Vin Diesel', 'Radha Mitchell', 'Cole Hauser']","[2, 1, 2, 2, 1, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0]","['darkness', 'dystopia', 'comet', 'alien life-form', 'survival', 'eclipse', 'flask', 'corps']",2000-02-18,7,2,6,15
1172,The Whole Nine Yards,2069,106371651,41300000,6.3,540.0,6.0,"['Comedy', 'Crime']","['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette']","[2, 2, 1, 2, 2, 2, 1, 1, 0, 0]","['bounty', 'gangster boss', 'montreal', 'gangster', 'dentist', 'hoodlum']",2000-02-18,5,3,2,10
1173,City Lights,901,19181,1500000,8.2,444.0,8.0,"['Comedy', 'Drama', 'Romance']","['Charlie Chaplin', 'Virginia Cherrill', 'Florence Lee']","[2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2]","['suicide attempt', 'operation', 'blindness and impaired vision', ""love of one's life"", 'eye operation', 'flower shop', 'flower girl', 'tramp', 'love', 'millionaire', 'blind girl', 'little tramp']",1931-01-30,9,3,9,21
1174,The Kid,10098,2500000,250000,8.0,404.0,8.0,"['Comedy', 'Drama']","['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance']","[2, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['angel', 'suicide attempt', 'fistfight', 'slapstick', 'class differences', 'rich poor', 'foundling', 'dream sequence', 'semi autobiographical', 'auto theft', 'little tramp', 'illegitimate son', 'smashing a window', 'abandoned']",1921-01-21,5,2,14,21
1175,Reindeer Games,2155,32168970,42000000,5.3,175.0,5.0,['Thriller'],"['Ben Affleck', 'Gary Sinise', 'Charlize Theron']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]","['prison', 'robbery', 'role reversal', 'extramarital affair']",2000-02-25,17,1,1,19
1176,3 Strikes,47816,9000000,6000000,5.9,15.0,5.0,"['Action', 'Comedy', 'Romance']","['Brian Hooks', ""N'Bushe Wright"", 'Faizon Love']","[2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2]",['sport'],2000-03-01,9,4,0,13
1177,Drowning Mona,25166,15427192,16000000,5.4,43.0,5.0,"['Comedy', 'Crime', 'Mystery']","['Danny DeVito', 'Bette Midler', 'Neve Campbell']","[2, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2]","['suspicion', 'suspect', 'investigation', 'remake', 'murder', 'death', 'accident', 'dysfunctional']",2000-03-03,12,4,1,17
1178,The Next Best Thing,1831,24362772,25000000,4.3,29.0,5.0,['Comedy'],"['Madonna', 'Rupert Everett', 'Benjamin Bratt']","[1, 2, 2, 0, 2, 1, 1, 1, 2, 1, 2]","['gay', 'parent child relationship', 'custody battle', 'flush', 'yoga', 'single', 'best friend', 'los angeles', 'single father', 'co-parenting']",2000-03-03,5,5,1,11
1179,Beyond the Mat,14271,500000,2053648,7.8,17.0,6.0,['Documentary'],"['Mick Foley', 'Terry Funk', 'Vince McMahon']","[2, 2, 2, 0, 2, 1, 2, 0, 2, 2, 0, 0, 0, 0, 2]","['wrestling', 'sport', 'controversial', 'ecw', 'wwe']",1999-10-22,8,1,6,15
1180,Birdy,11296,1400000,12000000,6.9,112.0,7.0,"['Drama', 'History']","['Matthew Modine', 'Nicolas Cage', 'John Harkins']","[2, 2, 2, 2, 1, 0, 1]","['lunatic asylum', 'vietnam war']",1984-12-14,4,2,1,7
1181,Blood Feast,28172,4000000,24500,5.3,26.0,5.0,['Horror'],"['William Kerwin', 'Mal Arnold', 'Connie Mason']","[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2]","['video nasty', 'splatter film']",1963-06-06,3,1,9,13
1182,Mission to Mars,2067,60874615,90000000,5.7,374.0,6.0,['Science Fiction'],"['Gary Sinise', 'Tim Robbins', 'Don Cheadle']","[2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1]","['mars', 'spacecraft', 'space travel', 'alien', 'long take', 'outer space', 'astronaut', 'dismemberment', 'alien contact', 'trapped in space']",2000-03-10,8,8,1,17
1183,The Ninth Gate,622,58401898,38000000,6.3,768.0,6.0,"['Horror', 'Mystery', 'Thriller']","['Johnny Depp', 'Frank Langella', 'Lena Olin']","[2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['new york', 'obsession', 'passion for collection', 'southern france', 'antiquary', 'book', 'picture puzzle', 'castle', 'satanism', 'demon', 'millionaire']",1999-08-24,8,3,10,21
1184,Breaking Away,20283,20000000,2300000,7.4,80.0,7.0,"['Drama', 'Comedy']","['Dennis Quaid', 'Daniel Stern', 'Jackie Earle Haley']","[2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 0, 0, 1]","['bicycle', 'sport', 'cycling', 'bicycle race']",1979-05-24,8,4,2,14
1185,Hoosiers,5693,28607524,9000000,7.1,143.0,7.0,"['Drama', 'Family']","['Gene Hackman', 'Barbara Hershey', 'Dennis Hopper']","[2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0]","['father son relationship', 'indiana', 'son', 'sport', 'basketball', 'high school sports']",1986-11-14,5,3,8,16
1186,Bull Durham,287,50888000,7000000,6.6,154.0,6.0,"['Comedy', 'Romance']","['Kevin Costner', 'Susan Sarandon', 'Tim Robbins']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2]","['love triangle', 'poem', 'jealousy', 'age difference', 'baseball', 'trainer', 'sports team', 'pitcher', 'stadium', 'flirt', 'home run', 'sport', 'minor leagues']",1988-06-15,9,2,5,16
1187,Dog Day Afternoon,968,46665856,1800000,7.6,685.0,7.0,"['Crime', 'Drama', 'Thriller']","['Al Pacino', 'John Cazale', 'Charles Durning']","[2, 2, 2, 2, 2, 2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 2, 2, 2, 2, 2, 2]","['bank', 'hostage', 'police', 'sex change', 'one day', 'shot in the forehead', 'suicide pact', 'bank cashier', 'car procession', 'attica', 'unhappy marriage']",1975-08-11,13,5,3,21
1188,American Graffiti,838,140000000,777000,6.9,330.0,7.0,"['Comedy', 'Drama']","['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']","[2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0]","['farewell', 'rock and roll', 'robbery', 'love at first sight', 'car race', 'radio station', 'car breakdown', 'vandalism', 'radio', 'radio presenter', 'airplane', 'car', 'child']",1973-08-01,8,6,7,21
1189,JFK,820,205405498,40000000,7.5,513.0,7.0,"['Drama', 'Thriller', 'History']","['Kevin Costner', 'Tommy Lee Jones', 'Gary Oldman']","[2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0, 1]","['assassination', 'cia', 'homophobia', 'new orleans', 'vietnam war', 'john f. kennedy', 'investigation', 'government', 'historical figure', 'president', 'conspiracy', 'death', 'kennedy assassination']",1991-12-20,15,4,2,21
1190,Blind Date,918,39321715,18000000,5.6,115.0,6.0,"['Comedy', 'Romance']","['Kim Basinger', 'Bruce Willis', 'John Larroquette']","[1, 2, 2, 0, 2, 2, 2, 1, 1, 2, 1, 1, 2]","['brother brother relationship', 'california', 'manager', 'judge', 'expensive restaurant', 'bachelor', 'new love', 'yuppie', 'business man', 'blind date', 'lawyer', 'alcoholic', 'wrongful arrest']",1987-03-27,7,5,1,13
1191,Nadine,61178,5669831,12000000,5.5,21.0,5.0,"['Action', 'Comedy', 'Romance']","['Jeff Bridges', 'Kim Basinger', 'Rip Torn']","[2, 1, 2, 1, 1, 2]","['texas', 'murder', 'on the run']",1987-08-07,3,3,0,6
1192,Titanic,16535,4905000,1805000,6.2,27.0,6.0,"['Drama', 'Action', 'Romance']","['Clifton Webb', 'Barbara Stanwyck', 'Robert Wagner']","[1, 1, 2, 1, 1, 0, 2, 2, 0, 1]",['titanic'],1953-04-11,3,5,2,10
1193,Erin Brockovich,462,256271286,52000000,7.1,730.0,7.0,['Drama'],"['Julia Roberts', 'Albert Finney', 'Aaron Eckhart']","[1, 0, 2, 1, 1, 1, 1, 2, 2, 0]","['biography', 'based on true story', 'single mother', 'water pollution', 'environmental law']",2000-03-17,3,5,2,10
1194,Final Destination,9532,53302314,23000000,6.4,1416.0,6.0,['Horror'],"['Devon Sawa', 'Ali Larter', 'Kerr Smith']","[2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 0, 2]","['omen', 'airplane accident', 'corpse', 'death', 'near-death experience']",2000-03-16,13,7,1,21
1195,Thelma & Louise,1541,45361000,16000000,7.2,766.0,7.0,"['Drama', 'Thriller', 'Crime', 'Adventure']","['Susan Sarandon', 'Geena Davis', 'Harvey Keitel']","[1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0]","['usa', 'southern usa', 'waitress', 'self-defense', 'highway', 'arkansas', 'grand canyon', 'drive over cliff']",1991-05-24,13,4,1,18
1196,Animal House,8469,141000000,2700000,7.0,420.0,7.0,['Comedy'],"['John Belushi', 'Tim Matheson', 'John Vernon']","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 2, 0]","['sex', 'nudity', 'college', 'fraternity', 'gross out comedy', 'dean', 'fraternity house', 'probation', '1960s', 'college freshman', 'anarchic comedy']",1978-07-27,14,4,3,21
1197,Do the Right Thing,925,37295445,6500000,7.6,301.0,7.0,['Drama'],"['Danny Aiello', 'Ossie Davis', 'Ruby Dee']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 1, 2, 2, 2, 2]","['black people', 'italo-american', 'police brutality', 'sun glasses', 'culture clash', 'street war', 'heat', 'restaurant critic', 'radio transmission', 'punk', 'chaos', 'police operation', 'pizzeria', 'pizza', 'money', 'racism', 'hip hop culture']",1989-06-30,17,3,1,21
1198,Mo' Better Blues,41823,16153593,10000000,6.3,48.0,6.0,"['Drama', 'Romance']","['Denzel Washington', 'Spike Lee', 'Wesley Snipes']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2]",['musical'],1990-08-03,12,2,0,14
1199,Jungle Fever,1713,32482682,14000000,6.0,71.0,6.0,"['Drama', 'Romance']","['Spike Lee', 'Annabella Sciorra', 'Ruby Dee']","[2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 0, 2]","['new york', 'architect', 'forbidden love', 'coloured', 'xenophobia']",1991-06-07,13,7,1,21
1200,Death Wish,13939,22000000,3000000,7.0,165.0,7.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Charles Bronson', 'Hope Lange', 'Vincent Gardenia']","[2, 1, 2, 2, 2, 2, 2, 1, 2, 0]","['new york', 'taxi', 'fight', 'architect', 'police', 'vigilante']",1974-07-24,7,2,1,10
1201,Death Wish 2,14373,45000000,2000000,6.1,74.0,6.0,"['Action', 'Crime', 'Thriller']","['Charles Bronson', 'Jill Ireland', 'Vincent Gardenia']","[2, 1, 2, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2, 2, 0, 0, 2]","['rape', 'detective', 'drug traffic', 'vigilante', 'revenge', 'los angeles', 'surveillance']",1982-02-20,11,3,3,17
1202,Death Wish 3,24873,16945171,9000000,6.1,68.0,6.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Charles Bronson', 'Deborah Raffin', 'Ed Lauter']","[2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 0]","['rocket launcher', 'punk', 'vigilante', 'revenge']",1985-11-01,7,2,2,11
1203,Death Wish 5: The Face of Death,34746,1702394,5000000,5.0,46.0,5.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Charles Bronson', 'Lesley-Anne Down', 'Michael Parks']","[2, 1, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0]","['female nudity', 'nudity', 'vigilante', 'fashion designer', 'sequel', 'murder', 'independent film', 'new york city', 'model', 'violence', 'fashion show', 'child custody', 'canuxploitation', 'witness relocation']",1994-01-14,8,2,7,17
1204,Double Indemnity,996,2500000,927262,8.0,425.0,8.0,"['Drama', 'Mystery', 'Thriller']","['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']","[2, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 1, 0, 2, 2, 0, 0]","['suicide', 'insurance salesman', 'insurance fraud', 'step daughter', 'train accident', 'marriage', 'femme fatale', 'murder', 'double cross', 'classic noir', 'film noir']",1944-04-24,11,4,6,21
1205,Teenage Mutant Ninja Turtles,1498,202000000,13500000,6.5,486.0,6.0,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']","['Judith Hoag', 'Elias Koteas', 'Josh Pais']","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2]","['skateboarding', 'martial arts', 'mutant', 'pizza delivery', 'ninja', 'new york city']",1990-03-30,13,1,3,17
1206,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1497,78000000,25000000,5.8,290.0,6.0,"['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']","['Paige Turco', 'David Warner', 'Michelan Sisti']","[1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 2, 0, 2]","['crime fighter', 'fight', 'mutant', 'turtle', 'ninja', 'reporter', 'new york city']",1991-03-22,16,2,3,21
1207,Teenage Mutant Ninja Turtles III,1499,42000000,21000000,5.1,189.0,5.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","['Paige Turco', 'Stuart Wilson', 'Sab Shimono']","[1, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 2, 2, 2, 0, 0]","['japan', 'time travel', 'ninja']",1993-03-17,12,2,7,21
1208,Red Dawn,1880,38376497,4200000,6.4,217.0,6.0,"['Action', 'Thriller']","['Patrick Swayze', 'C. Thomas Howell', 'Lea Thompson']","[2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0]","['guerrilla', 'colorado', 'invasion', 'anti-communism', 'near future', 'red army']",1984-08-10,14,3,1,18
1209,Band of the Hand,33762,4865912,8700000,6.9,14.0,6.0,"['Action', 'Crime', 'Drama']","['Stephen Lang', 'Lauren Holly', 'John Cameron Mitchell']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 1, 1, 2, 0, 2, 2, 2]","['bikini', 'gang', 'drug addict', 'illegal drugs', 'survival training']",1986-04-11,15,3,3,21
1210,Bloodsport,11690,11806119,1500000,6.6,370.0,6.0,['Action'],"['Jean-Claude Van Damme', 'Bolo Yeung', 'Roy Chiao']","[2, 2, 0, 2, 2, 0, 1, 2, 2]","['martial arts', 'biography', 'sport', 'sensei', 'mixed martial arts', 'hong kong']",1988-02-26,6,1,2,9
1211,Eyes of Laura Mars,29143,20000000,7000000,5.7,46.0,6.0,"['Drama', 'Horror', 'Mystery', 'Thriller']","['Faye Dunaway', 'Tommy Lee Jones', 'Brad Dourif']","[1, 2, 2, 2, 2, 1, 2]","['photographer', 'fashion photographer']",1978-08-02,5,2,0,7
1212,"Good Morning, Vietnam",801,123922370,13000000,7.1,658.0,7.0,"['Comedy', 'Drama', 'War']","['Robin Williams', 'Forest Whitaker', 'Tung Thanh Tran']","[2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0]","['rock and roll', 'radio station', 'war crimes', 'entertainer', 'explosive', 'cynic', 'radio', 'vietnam war', 'vietcong', 'gi', 'u.s. air force', 'dying and death', 'radio presenter', 'humor', 'saigon', 'provocation', 'right and justice']",1987-12-23,11,0,4,15
1213,Guess Who's Coming to Dinner,1879,56666667,4000000,7.6,174.0,7.0,"['Comedy', 'Drama', 'Romance']","['Spencer Tracy', 'Sidney Poitier', 'Katharine Hepburn']","[2, 2, 1, 1, 1, 1, 2, 1, 0, 1, 0, 2, 2, 2, 1, 2, 0, 1]","['san francisco', 'marriage proposal', 'ruling class', 'vacation', 'interracial relationship', 'african american', 'dinner', 'doctor', 'art gallery', 'widower', 'miscegenation', 'publisher']",1967-12-11,7,8,3,18
1214,Romeo Must Die,2085,91036760,25000000,6.0,334.0,6.0,"['Action', 'Crime', 'Thriller']","['Jet Li', 'Aaliyah', 'Isaiah Washington']","[2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2]","['martial arts', 'hip-hop', 'oakland', 'asian', 'asian man', 'asian lead']",2000-03-20,13,1,1,15
1215,Waking the Dead,37722,327418,8500000,6.5,22.0,6.0,"['Drama', 'Romance']","['Billy Crudup', 'Jennifer Connelly', 'Paul Hipp']","[2, 1, 2, 2, 1, 2, 2, 1, 1, 0, 2, 2, 1, 1]","['female nudity', 'sex', 'based on novel', '1970s', 'nudity', 'politics', 'politician', 'chile', 'priest', 'independent film', 'new york city', 'election', 'death', 'congressman', '1980s']",2000-03-23,7,6,1,14
1216,Modern Times,3082,8500000,1,8.1,881.0,8.0,"['Drama', 'Comedy']","['Charlie Chaplin', 'Paulette Goddard', 'Henry Bergman']","[2, 1, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 1, 0, 2]","['factory', 'ambulance', 'invention', 'tramp', 'great depression', 'industrial revolution', 'slapstick', 'machine', 'pardon', 'guilty']",1936-02-05,11,2,8,21
1217,Hud,24748,10000000,2500000,7.4,69.0,7.0,"['Action', 'Drama', 'Western']","['Paul Newman', 'Melvyn Douglas', 'Patricia Neal']","[2, 2, 1, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1]","['rodeo', 'alcoholism', 'ranchers', 'rancher', 'rebellious youth', 'neo-western']",1963-05-29,9,3,5,17
1218,The Hustler,990,7600000,2000000,7.6,243.0,7.0,['Drama'],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie']","[2, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 1, 0]","['suicide', 'gambling', 'manager', 'alcohol', 'based on novel', 'bar', 'billard', 'hustler', 'sport', 'party', 'pool', 'money', 'game', 'drunk', 'player']",1961-09-25,9,2,4,15
1219,Close Encounters of the Third Kind,840,303788635,20000000,7.2,1122.0,7.0,"['Science Fiction', 'Drama']","['Richard Dreyfuss', 'Fran\xc3\xa7ois Truffaut', 'Teri Garr']","[2, 0, 1, 1, 2, 2, 2, 0, 2, 2, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 0]","['indiana', 'obsession', 'extraterrestrial technology', 'evacuation', 'blackout', 'flying saucer', 'secret base', 'light', 'contact', 'beguilement', 'exchange', 'ufo', 'alien', 'vision', 'missing person', 'mother ship', 'escapade', 'obsessive quest', 'life turned upside down']",1977-11-16,10,3,8,21
1220,Jacob's Ladder,2291,25965144,25000000,7.3,376.0,7.0,"['Drama', 'Mystery', 'Horror']","['Tim Robbins', 'Elizabeth Pe\xc3\xb1a', 'Danny Aiello']","[2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 2, 2]","['violence', 'postal worker', 'figment of imagination', 'oneiric']",1990-11-02,11,4,1,16
1221,La Bamba,16620,54215416,6500000,6.8,120.0,6.0,"['Drama', 'Music']","['Lou Diamond Phillips', 'Danielle von Zerneck', 'Elizabeth Pe\xc3\xb1a']","[2, 1, 1, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 2, 1, 0, 2, 2, 1]","['musical', 'death', 'dying young', 'nostalgic', 'mexican american', 'rising star', 'marital rape']",1987-07-24,9,5,7,21
1222,Ladyhawke,526,18432000,20000000,6.8,264.0,7.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['Matthew Broderick', 'Rutger Hauer', 'Michelle Pfeiffer']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0]","['moon', 'monk', 'swordplay', 'bishop', 'cathedral', 'falcon', 'twilight', 'solar eclipse', 'thief']",1985-03-27,9,1,5,15
1223,Lucas,13346,8200000,6000000,6.4,53.0,6.0,"['Comedy', 'Drama', 'Romance']","['Corey Haim', 'Kerri Green', 'Charlie Sheen']","[2, 0, 2, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0]","['high school', 'american football team', 'cheerleading']",1986-03-28,6,2,6,14
1224,High Fidelity,243,47126295,30000000,7.0,636.0,7.0,"['Comedy', 'Drama', 'Romance', 'Music']","['John Cusack', 'Iben Hjejle', 'Todd Louiso']","[2, 1, 2, 2, 1, 1, 1, 2, 0, 2, 1, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0]","['chicago', 'music record', 'rock and roll', 'record store', 'soul', 'disc jockey', 'pop', 'bruce frederick joseph springsteen', 'record collection']",2000-03-17,7,9,5,21
1225,The Road to El Dorado,10501,76432727,95000000,7.0,892.0,7.0,"['Adventure', 'Animation', 'Comedy', 'Family']","['Kenneth Branagh', 'Kevin Kline', 'Rosie Perez']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0]","['gold', 'horse', 'sword fight']",2000-03-31,8,1,3,12
1226,The Skulls,11478,35007180,15000000,5.7,160.0,6.0,"['Crime', 'Drama', 'Thriller']","['Joshua Jackson', 'Paul Walker', 'Hill Harper']","[2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 1, 2]","['journalist', 'secret society', 'pizza', 'wealth', 'pay phone', 'rooftop', 'attempted suicide', 'fraternity', 'foot race', 'ivy league', 'u.s. senator', 'dining hall']",2000-03-31,12,2,3,17
1227,El Dorado,6644,6000000,4653000,7.2,96.0,7.0,['Western'],"['John Wayne', 'Robert Mitchum', 'James Caan']","[2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2]","['sheriff', 'ranch', 'liquor', 'settler', 'revolver', 'two guns belt']",1966-12-17,12,3,0,15
1228,Hook,879,300854823,70000000,6.7,1563.0,7.0,"['Adventure', 'Fantasy', 'Comedy', 'Family']","['Robin Williams', 'Dustin Hoffman', 'Julia Roberts']","[2, 2, 1, 2, 1, 1, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 0]","['flying', 'swordplay', 'sword', 'fantasy', 'peter pan', 'daughter', 'fairy-tale figure', 'rescue']",1991-12-11,11,8,2,21
1229,Midnight Express,11327,35000000,2300000,7.6,309.0,7.0,"['Drama', 'Crime']","['Brad Davis', 'Irene Miracle', 'Bo Hopkins']","[2, 1, 2, 2, 2, 0, 2, 2, 2, 0, 2]","['prison', 'drug smuggle', 'attempt to escape', 'escape', 'lawyer', 'torture', 'brutality']",1978-09-12,8,1,2,11
1230,Misery,1700,61276872,20000000,7.6,1085.0,8.0,"['Drama', 'Thriller']","['James Caan', 'Kathy Bates', 'Richard Farnsworth']","[2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2]","['nurse', 'psychopath', 'car crash', 'author', 'obsessed fan', 'blizzard', 'broken leg']",1990-11-28,8,4,0,12
1231,Mr. Saturday Night,54087,13300000,43000000,5.2,17.0,5.0,"['Drama', 'Comedy']","['Billy Crystal', 'David Paymer', 'Julie Warner']","[2, 2, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['skab under tv', 'bagved', '\xc3\x98verste hylde']",1992-09-23,14,3,1,18
1232,Murphy's Romance,34322,30867525,13000000,5.7,14.0,5.0,"['Comedy', 'Romance']","['Sally Field', 'James Garner', 'Brian Kerwin']","[1, 2, 2, 2, 2, 1, 1, 0, 0, 2, 1, 2, 2]","['single mother', 'divorce', 'horse ranch', 'eligible bachelor', 'horse boarder']",1985-12-25,7,4,2,13
1233,Network,10774,23689877,3800000,7.8,391.0,8.0,['Drama'],"['Faye Dunaway', 'William Holden', 'Peter Finch']","[1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 0, 1, 1, 0, 2, 2, 2, 1, 2]","['corruption', 'sex', 'adultery', 'television', 'profit', 'nudity', 'power', 'tv ratings', 'murder', 'corporate', 'reporter', 'co-worker', 'meeting', 'news', 'fired', 'network', 'anchor', 'structure', 'rant']",1976-11-01,13,6,2,21
1234,No Way Out,10083,35509515,15000000,6.9,155.0,7.0,"['Action', 'Drama', 'Thriller']","['Kevin Costner', 'Gene Hackman', 'Sean Young']","[2, 2, 1, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2]","['homicide', 'pentagon', 'minister', 'u.s. navy']",1987-08-14,10,2,1,13
1235,The Outlaw Josey Wales,10747,31800000,3700000,7.4,303.0,7.0,"['Drama', 'Western']","['Clint Eastwood', 'Chief Dan George', 'Sondra Locke']","[2, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 0]","['showdown', 'loss of family', 'texas', 'settler', 'revenge', 'native american', 'comanche', 'american civil war', '19th century']",1976-06-30,13,3,5,21
1236,Black and White,38809,5241315,10000000,4.6,20.0,5.0,['Drama'],"['Robert Downey Jr.', 'Scott Caan', 'Stacy Edwards']","[2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 0, 2, 2, 2, 2, 2, 2, 0]",['independent film'],1999-09-04,12,6,3,21
1237,Frequency,10559,68106245,31000000,7.0,473.0,7.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']","['Dennis Quaid', 'Jim Caviezel', 'Andre Braugher']","[2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 1, 0, 2, 0, 0, 0, 2]","['new york', 'mother', 'detective', 'baseball', 'radio', 'firemen', 'future', 'time', 'race against time', 'investigation', 'father', 'history', 'murder', 'paranormal', 'rescue', 'family relationships', 'escape', 'crime', 'explosion', 'flashback', 'phenomenon', 'amateur radio', 'aurora borealis', 'altering history']",2000-04-28,11,3,6,20
